weeknr,week,lec,leclink,lab,lablink
0,Welcome Week,Course Intro,https://uoepsy.github.io/usmr/2627/lectures/lecture00.html,A short survey,https://edin.ac/3Eth1ML
1.01,Sem 1 Week 1,Introduction to R and Statistics,./lectures/lecture01.html,Chapter 1: A First Look at R & Rstudio,./readings/01_R.html
,,,,Chapter 2: More R - Basic Data Skills,./readings/02_data.html
,,,,Week 1 Exercises,./labs/01_ex.html
1.02,Sem 1 Week 2,Measurement & Distributions,./lectures/lecture02.html,Chapter 3: Measurement & Distributions,./readings/03_measurement.html
,,,,Chapter 4: Curves & Sampling,./readings/04_sampling.html
,,,,Week 2 Exercises,./labs/02_ex.html
1.03,Sem 1 Week 3,Testing Statistical Hypotheses,./lectures/lecture03.html,Chapter 5: Foundations of Inference,./readings/05_inference.html
,,,,Chapter 6: Practical Inference,./readings/06_inference2.html
,,,,Week 3 Exercises: T tests,./labs/03_ex.html
1.04,Sem 1 Week 4,Nominal Data,./lectures/lecture04.html,Chapter 7: Binomial & Chi-Square Tests,./readings/07_chisq.html
,,,,Chapter 8: Revisiting NHST,./readings/08_revisitnhst.html
,,,,Week 4 Exercises: Chi-Square Tests,./labs/04_ex.html
1.05,Sem 1 Week 5,Correlation/Correlation++,./lectures/lecture05.html,Chapter 9: Covariance & Correlation,./readings/09_covcor.html
,,,,Chapter 10: Simple Linear Regression,./readings/10_slr.html
,,,,Week 5 Exercises: Cov/Cor/The Linear Model,./labs/05_ex.html
1.06,Sem 1 Week 6,No Lecture,,WalkThrough: Advanced Data Wrangling,./readings/zz_wt.html
,,,,No Lab,
1.07,Sem 1 Week 7,The Linear Model,./lectures/lecture06.html,Chapter 11: Multiple Linear Regression,./readings/11_mlr.html
,,,,"Chapter 12: Assumptions, Diagnostics & Troubleshooting",./readings/12_assumptdiag.html
,,,,Week 7 Exercises: Multiple Regression,./labs/07_ex.html
1.08,Sem 1 Week 8,Scaling and Contrasts,./lectures/lecture07.html,Chapter 13: Centering and Scaling,./readings/13_scaling.html
,,,,Chapter 14: Categorical Predictors,./readings/14_catpred.html
,,,,Week 8 Exercises: Scaling and Categorical Predictors,./labs/08_ex.html
1.09,Sem 1 Week 9,Interactions,./lectures/lecture08.html#/title-slide,Chapter 15: Interactions,./readings/15_interactions.html
,,,,Week 9 Exercises: Interactions,./labs/09_ex.html
1.1,Sem 1 Week 10,The Generalized Linear Model,./lectures/lecture09.html#/title-slide,Chapter 16: The Generalized Linear Model,./readings/16_glm.html
,,,,Week 10 Exercises: GLM,./labs/10_ex.html
1.11,Sem 1 Week 11,Some Kind of End to the Course,./lectures/lecture10.html,Week 11 Exercises: Loose Ends,./labs/11_ex.html
